TimeStamp;Температура слива масла из опоры турбины (поз. Т606);0 - Bad, 1 - Good
12:10:00.001;28.16;1
12:10:00.024;28.16;1
12:10:00.046;28.16;1
12:10:00.068;28.16;1
12:10:00.091;28.23;1
12:10:00.114;28.23;1
12:10:00.140;28.23;1
12:10:00.162;28.23;1
12:10:00.183;28.23;1
12:10:00.206;28.23;1
12:10:00.229;28.23;1
12:10:00.253;28.23;1
12:10:00.277;28.23;1
12:10:00.298;28.23;1
12:10:00.322;28.23;1
12:10:00.344;28.23;1
12:10:00.369;28.23;1
12:10:00.391;28.23;1
12:10:00.414;28.322;1
12:10:00.437;28.322;1
12:10:00.459;28.322;1
12:10:00.487;28.322;1
12:10:00.508;28.322;1
12:10:00.528;28.322;1
12:10:00.552;28.322;1
12:10:00.575;28.322;1
12:10:00.597;28.322;1
12:10:00.620;28.322;1
12:10:00.643;28.322;1
12:10:00.669;28.322;1
12:10:00.689;28.322;1
12:10:00.712;28.415;1
12:10:00.735;28.415;1
12:10:00.758;28.415;1
12:10:00.781;28.415;1
12:10:00.807;28.415;1
12:10:00.829;28.415;1
12:10:00.852;28.415;1
12:10:00.874;28.415;1
12:10:00.896;28.415;1
12:10:00.919;28.415;1
12:10:00.942;28.415;1
12:10:00.968;28.415;1
12:10:00.988;28.415;1
12:10:01.011;28.415;1
12:10:01.034;28.415;1
12:10:01.057;28.439;1
12:10:01.080;28.439;1
12:10:01.106;28.439;1
12:10:01.127;28.439;1
12:10:01.150;28.439;1
12:10:01.174;28.439;1
12:10:01.195;28.439;1
12:10:01.218;28.439;1
12:10:01.241;28.439;1
12:10:01.267;28.439;1
12:10:01.287;28.439;1
12:10:01.310;28.439;1
12:10:01.333;28.532;1
12:10:01.356;28.532;1
12:10:01.380;28.532;1
12:10:01.402;28.532;1
12:10:01.425;28.532;1
12:10:01.448;28.532;1
12:10:01.471;28.532;1
12:10:01.494;28.532;1
12:10:01.517;28.532;1
12:10:01.540;28.532;1
12:10:01.563;28.532;1
12:10:01.587;28.532;1
12:10:01.610;28.532;1
12:10:01.633;28.532;1
12:10:01.657;28.532;1
12:10:01.680;28.532;1
12:10:01.702;28.625;1
12:10:01.725;28.625;1
12:10:01.748;28.625;1
12:10:01.772;28.625;1
12:10:01.793;28.625;1
12:10:01.817;28.625;1
12:10:01.840;28.625;1
12:10:01.863;28.625;1
12:10:01.889;28.625;1
12:10:01.910;28.625;1
12:10:01.932;28.625;1
12:10:01.956;28.625;1
12:10:01.978;28.625;1
12:10:02.001;28.625;1
12:10:02.026;28.671;1
12:10:02.047;28.671;1
12:10:02.069;28.671;1
12:10:02.092;28.671;1
12:10:02.116;28.671;1
12:10:02.140;28.671;1
12:10:02.161;28.671;1
12:10:02.184;28.671;1
12:10:02.208;28.671;1
12:10:02.231;28.671;1
12:10:02.254;28.671;1
12:10:02.278;28.671;1
12:10:02.301;28.671;1
12:10:02.325;28.741;1
12:10:02.345;28.741;1
12:10:02.368;28.741;1
12:10:02.392;28.741;1
12:10:02.415;28.741;1
12:10:02.437;28.741;1
12:10:02.463;28.741;1
12:10:02.487;28.741;1
12:10:02.508;28.741;1
12:10:02.529;28.741;1
12:10:02.553;28.741;1
12:10:02.576;28.741;1
12:10:02.598;28.741;1
12:10:02.621;28.741;1
12:10:02.644;28.81;1
12:10:02.670;28.81;1
12:10:02.690;28.81;1
12:10:02.713;28.81;1
12:10:02.737;28.81;1
12:10:02.763;28.81;1
12:10:02.785;28.81;1
12:10:02.807;28.81;1
12:10:02.831;28.81;1
12:10:02.854;28.81;1
12:10:02.875;28.81;1
12:10:02.899;28.81;1
12:10:02.923;28.81;1
12:10:02.945;28.81;1
12:10:02.967;28.88;1
12:10:02.990;28.88;1
12:10:03.014;28.88;1
12:10:03.037;28.88;1
12:10:03.060;28.88;1
12:10:03.083;28.88;1
12:10:03.108;28.88;1
12:10:03.128;28.88;1
12:10:03.152;28.88;1
12:10:03.174;28.88;1
12:10:03.197;28.88;1
12:10:03.220;28.88;1
12:10:03.243;28.88;1
12:10:03.266;28.88;1
12:10:03.291;28.88;1
12:10:03.312;28.88;1
12:10:03.335;28.88;1
12:10:03.358;28.88;1
12:10:03.383;28.88;1
12:10:03.405;28.88;1
12:10:03.430;28.88;1
12:10:03.452;28.88;1
12:10:03.473;28.88;1
12:10:03.497;28.88;1
12:10:03.519;28.88;1
