TimeStamp;Частота вращения РВД приведенная;0 - Bad, 1 - Good
12:10:00.001;9722.291;1
12:10:00.024;9722.339;1
12:10:00.046;9722.395;1
12:10:00.068;9722.395;1
12:10:00.091;9722.26;1
12:10:00.114;9722.26;1
12:10:00.140;9722.363;1
12:10:00.162;9721.96;1
12:10:00.183;9724.495;1
12:10:00.206;9723.6;1
12:10:00.229;9723.821;1
12:10:00.253;9723.821;1
12:10:00.277;9724.917;1
12:10:00.298;9723.332;1
12:10:00.322;9723.213;1
12:10:00.344;9723.554;1
12:10:00.369;9724.481;1
12:10:00.391;9723.586;1
12:10:00.414;9723.815;1
12:10:00.437;9723.815;1
12:10:00.459;9724.568;1
12:10:00.487;9722.28;1
12:10:00.508;9723.563;1
12:10:00.528;9723.84;1
12:10:00.552;9723.539;1
12:10:00.575;9723.406;1
12:10:00.597;9723.889;1
12:10:00.620;9723.889;1
12:10:00.643;9723.969;1
12:10:00.669;9723.747;1
12:10:00.689;9723.279;1
12:10:00.712;9723.85;1
12:10:00.735;9724.14;1
12:10:00.758;9723.775;1
12:10:00.781;9723.775;1
12:10:00.807;9723.506;1
12:10:00.829;9723.681;1
12:10:00.852;9724.18;1
12:10:00.874;9724.259;1
12:10:00.896;9724.603;1
12:10:00.919;9724.603;1
12:10:00.942;9724.136;1
12:10:00.968;9723.978;1
12:10:00.988;9725.49;1
12:10:01.011;9724.112;1
12:10:01.034;9723.871;1
12:10:01.057;9724.124;1
12:10:01.080;9724.124;1
12:10:01.106;9724.576;1
12:10:01.127;9724.395;1
12:10:01.150;9724.347;1
12:10:01.174;9724.235;1
12:10:01.195;9724.235;1
12:10:01.218;9724.536;1
12:10:01.241;9724.821;1
12:10:01.267;9725.772;1
12:10:01.287;9724.846;1
12:10:01.310;9724.204;1
12:10:01.333;9724.632;1
12:10:01.356;9724.632;1
12:10:01.380;9724.347;1
12:10:01.402;9724.347;1
12:10:01.425;9724.07;1
12:10:01.448;9724.861;1
12:10:01.471;9727.159;1
12:10:01.494;9725.123;1
12:10:01.517;9724.078;1
12:10:01.540;9724.078;1
12:10:01.563;9724.078;1
12:10:01.587;9725.354;1
12:10:01.610;9728.263;1
12:10:01.633;9723.524;1
12:10:01.657;9725.014;1
12:10:01.680;9725.314;1
12:10:01.702;9725.688;1
12:10:01.725;9725.688;1
12:10:01.748;9726.146;1
12:10:01.772;9725.133;1
12:10:01.793;9725.362;1
12:10:01.817;9725.291;1
12:10:01.840;9725.497;1
12:10:01.863;9725.021;1
12:10:01.889;9724.769;1
12:10:01.910;9724.769;1
12:10:01.932;9725.347;1
12:10:01.956;9725.339;1
12:10:01.978;9724.856;1
12:10:02.001;9725.759;1
12:10:02.026;9725.788;1
12:10:02.047;9725.788;1
12:10:02.069;9725.945;1
12:10:02.092;9725.479;1
12:10:02.116;9725.074;1
12:10:02.140;9725.249;1
12:10:02.161;9725.368;1
12:10:02.184;9725.958;1
12:10:02.208;9724.943;1
12:10:02.231;9724.943;1
12:10:02.254;9725.879;1
12:10:02.278;9725.854;1
12:10:02.301;9725.467;1
12:10:02.325;9725.934;1
12:10:02.345;9725.817;1
12:10:02.368;9726.254;1
12:10:02.392;9725.89;1
12:10:02.415;9725.89;1
12:10:02.437;9725.929;1
12:10:02.463;9725.786;1
12:10:02.487;9725.913;1
12:10:02.508;9726.285;1
12:10:02.529;9727.974;1
12:10:02.553;9727.974;1
12:10:02.576;9726.626;1
12:10:02.598;9727.054;1
12:10:02.621;9725.834;1
12:10:02.644;9726.017;1
