TimeStamp;Давление за ОК Pk2;0 - Bad, 1 - Good
12:10:00.001;257.59;1
12:10:00.024;257.59;1
12:10:00.046;258.663;1
12:10:00.068;258.663;1
12:10:00.091;257.82;1
12:10:00.114;256.671;1
12:10:00.140;256.671;1
12:10:00.162;257.207;1
12:10:00.183;257.59;1
12:10:00.206;257.59;1
12:10:00.229;256.671;1
12:10:00.253;257.514;1
12:10:00.277;257.437;1
12:10:00.298;257.437;1
12:10:00.322;257.284;1
12:10:00.344;257.284;1
12:10:00.369;257.744;1
12:10:00.391;257.744;1
12:10:00.414;256.824;1
12:10:00.437;256.824;1
12:10:00.459;256.212;1
12:10:00.487;259.123;0
12:10:00.508;256.365;0
12:10:00.528;257.131;1
12:10:00.552;257.131;1
12:10:00.575;257.131;1
12:10:00.597;257.897;1
12:10:00.620;257.744;1
12:10:00.643;256.365;1
12:10:00.669;258.663;1
12:10:00.689;258.663;1
12:10:00.712;257.514;1
12:10:00.735;257.514;1
12:10:00.758;255.675;1
12:10:00.781;257.744;1
12:10:00.807;258.127;1
12:10:00.829;258.127;1
12:10:00.852;256.748;1
12:10:00.874;256.748;1
12:10:00.896;258.05;1
12:10:00.919;258.51;1
12:10:00.942;256.441;1
12:10:00.968;256.441;1
12:10:00.988;258.51;1
12:10:01.011;257.131;1
12:10:01.034;257.131;1
12:10:01.057;256.365;1
12:10:01.080;256.978;1
12:10:01.106;258.203;1
12:10:01.127;258.203;1
12:10:01.150;258.203;1
12:10:01.174;257.054;1
12:10:01.195;256.748;1
12:10:01.218;258.05;1
12:10:01.241;257.284;1
12:10:01.267;257.284;1
12:10:01.287;257.361;1
12:10:01.310;257.361;1
12:10:01.333;256.748;1
12:10:01.356;256.748;1
12:10:01.380;256.518;1
12:10:01.402;256.518;1
12:10:01.425;258.51;1
12:10:01.448;256.748;1
12:10:01.471;255.829;1
12:10:01.494;255.829;1
12:10:01.517;258.74;0
12:10:01.540;258.74;1
12:10:01.563;258.74;1
12:10:01.587;256.824;1
12:10:01.610;257.207;1
12:10:01.633;257.82;1
12:10:01.657;257.667;1
12:10:01.680;257.667;1
12:10:01.702;257.667;1
12:10:01.725;257.054;1
12:10:01.748;257.514;1
12:10:01.772;257.514;1
12:10:01.793;257.437;1
12:10:01.817;257.437;1
12:10:01.840;257.284;1
12:10:01.863;257.284;1
12:10:01.889;258.893;1
12:10:01.910;256.288;1
12:10:01.932;257.667;1
12:10:01.956;257.667;1
12:10:01.978;257.59;1
12:10:02.001;257.59;1
12:10:02.026;256.824;1
12:10:02.047;256.518;1
12:10:02.069;257.361;1
12:10:02.092;257.361;1
12:10:02.116;256.212;1
12:10:02.140;257.361;1
12:10:02.161;257.054;1
12:10:02.184;257.054;1
12:10:02.208;258.05;1
12:10:02.231;256.595;1
12:10:02.254;256.595;1
12:10:02.278;258.816;1
12:10:02.301;257.361;1
12:10:02.325;256.748;1
12:10:02.345;257.973;1
12:10:02.368;257.973;1
12:10:02.392;257.973;1
12:10:02.415;257.284;1
12:10:02.437;257.437;1
12:10:02.463;257.59;1
12:10:02.487;258.28;1
12:10:02.508;258.28;1
12:10:02.529;258.28;1
12:10:02.553;256.901;1
12:10:02.576;257.437;1
12:10:02.598;258.203;1
