TimeStamp;Давление за ОК Pk1;0 - Bad, 1 - Good
12:10:00.001;244.713;1
12:10:00.024;244.713;1
12:10:00.046;243.865;1
12:10:00.068;243.865;1
12:10:00.091;243.865;1
12:10:00.114;244.79;1
12:10:00.140;244.481;1
12:10:00.162;243.865;1
12:10:00.183;243.865;1
12:10:00.206;243.865;1
12:10:00.229;245.329;1
12:10:00.253;244.404;1
12:10:00.277;244.25;1
12:10:00.298;244.096;1
12:10:00.322;244.096;1
12:10:00.344;244.867;1
12:10:00.369;243.634;1
12:10:00.391;243.634;1
12:10:00.414;244.636;1
12:10:00.437;245.406;1
12:10:00.459;245.406;1
12:10:00.487;242.863;1
12:10:00.508;245.252;1
12:10:00.528;244.404;1
12:10:00.552;243.711;1
12:10:00.575;243.711;1
12:10:00.597;243.711;1
12:10:00.620;243.788;1
12:10:00.643;245.175;1
12:10:00.669;243.557;1
12:10:00.689;244.327;1
12:10:00.712;244.327;1
12:10:00.735;244.327;1
12:10:00.758;244.867;1
12:10:00.781;244.481;1
12:10:00.807;243.017;1
12:10:00.829;245.175;1
12:10:00.852;245.175;1
12:10:00.874;245.175;1
12:10:00.896;244.25;1
12:10:00.919;243.402;1
12:10:00.942;245.483;1
12:10:00.968;244.559;1
12:10:00.988;244.481;1
12:10:01.011;244.481;1
12:10:01.034;244.481;1
12:10:01.057;245.483;1
12:10:01.080;245.329;1
12:10:01.106;244.019;1
12:10:01.127;244.404;1
12:10:01.150;244.404;1
12:10:01.174;244.404;1
12:10:01.195;244.327;1
12:10:01.218;244.481;1
12:10:01.241;243.942;1
12:10:01.267;245.098;1
12:10:01.287;245.098;1
12:10:01.310;245.098;1
12:10:01.333;244.636;1
12:10:01.356;244.636;1
12:10:01.380;244.867;1
12:10:01.402;243.325;1
12:10:01.425;243.325;1
12:10:01.448;244.79;1
12:10:01.471;245.098;1
12:10:01.494;245.098;1
12:10:01.517;243.634;1
12:10:01.540;243.634;1
12:10:01.563;244.559;1
12:10:01.587;244.559;1
12:10:01.610;243.865;1
12:10:01.633;244.636;1
12:10:01.657;243.865;1
12:10:01.680;243.865;1
12:10:01.702;245.792;1
12:10:01.725;245.792;1
12:10:01.748;245.098;1
12:10:01.772;243.865;1
12:10:01.793;245.329;1
12:10:01.817;244.867;1
12:10:01.840;244.867;1
12:10:01.863;244.867;1
12:10:01.889;243.865;1
12:10:01.910;244.867;1
12:10:01.932;245.329;1
12:10:01.956;243.325;1
12:10:01.978;244.79;1
12:10:02.001;244.79;1
12:10:02.026;244.79;1
12:10:02.047;245.252;1
12:10:02.069;244.559;1
12:10:02.092;243.942;1
12:10:02.116;245.021;1
12:10:02.140;245.021;1
12:10:02.161;244.173;1
12:10:02.184;244.173;1
12:10:02.208;243.325;1
12:10:02.231;246.023;0
12:10:02.254;243.402;0
12:10:02.278;243.402;1
12:10:02.301;244.559;1
12:10:02.325;244.79;1
12:10:02.345;244.481;1
12:10:02.368;244.481;1
12:10:02.392;244.404;1
12:10:02.415;244.404;1
12:10:02.437;244.481;1
12:10:02.463;244.636;1
12:10:02.487;243.479;1
12:10:02.508;243.479;1
12:10:02.529;246.1;0
12:10:02.553;246.1;1
12:10:02.576;244.636;1
12:10:02.598;243.479;1
12:10:02.621;246.177;0
12:10:02.644;245.252;1
12:10:02.670;245.252;1
12:10:02.690;243.557;1
12:10:02.713;243.557;1
12:10:02.737;245.021;1
12:10:02.763;245.869;1
12:10:02.785;243.788;1
12:10:02.807;243.788;1
12:10:02.831;244.944;1
12:10:02.854;244.944;1
12:10:02.875;244.944;1
12:10:02.899;243.402;1
12:10:02.923;245.021;1
12:10:02.945;245.021;1
12:10:02.967;245.098;1
12:10:02.990;243.402;1
12:10:03.014;243.402;1
12:10:03.037;244.096;1
12:10:03.060;245.56;1
12:10:03.083;244.79;1
12:10:03.108;244.79;1
12:10:03.128;243.865;1
12:10:03.152;245.715;1
12:10:03.174;245.715;1
12:10:03.197;244.713;1
12:10:03.220;244.559;1
12:10:03.243;244.559;1
12:10:03.266;245.792;1
12:10:03.291;244.559;1
12:10:03.312;244.096;1
12:10:03.335;245.098;1
12:10:03.358;245.098;1
12:10:03.383;245.098;1
12:10:03.405;245.098;1
12:10:03.430;246.254;1
12:10:03.452;243.634;0
12:10:03.473;245.252;1
12:10:03.497;244.867;1
12:10:03.519;244.867;1
12:10:03.542;244.327;1
12:10:03.565;244.713;1
12:10:03.588;244.713;1
12:10:03.611;245.175;1
12:10:03.634;244.096;1
12:10:03.657;244.096;1
12:10:03.683;244.327;1
12:10:03.704;244.327;1
12:10:03.728;245.792;1
12:10:03.749;243.942;1
12:10:03.772;244.713;1
12:10:03.795;244.713;1
12:10:03.818;244.944;1
12:10:03.842;244.79;1
12:10:03.863;244.79;1
12:10:03.887;243.711;1
12:10:03.912;245.946;1
12:10:03.934;245.946;1
12:10:03.955;245.021;1
12:10:03.981;244.019;1
12:10:04.004;245.638;1
12:10:04.025;244.636;1
12:10:04.050;244.636;1
12:10:04.071;244.636;1
12:10:04.095;244.559;1
12:10:04.117;245.406;1
12:10:04.140;245.792;1
12:10:04.162;244.867;1
12:10:04.186;244.867;1
12:10:04.209;244.867;1
12:10:04.231;245.098;1
12:10:04.254;245.792;1
12:10:04.278;244.404;1
12:10:04.300;244.944;1
12:10:04.324;244.944;1
12:10:04.346;246.331;1
12:10:04.369;243.865;1
12:10:04.393;243.865;1
12:10:04.415;245.021;1
12:10:04.441;245.56;1
12:10:04.461;245.946;1
12:10:04.484;245.946;1
12:10:04.507;244.019;1
12:10:04.530;245.946;1
12:10:04.553;245.098;1
12:10:04.576;245.098;1
12:10:04.600;244.559;1
12:10:04.622;244.559;1
12:10:04.646;244.559;1
12:10:04.668;246.254;1
12:10:04.692;245.098;1
12:10:04.715;244.713;1
12:10:04.738;246.1;1
12:10:04.761;246.1;1
12:10:04.786;246.1;1
12:10:04.809;245.946;1
12:10:04.832;244.404;1
12:10:04.852;245.56;1
12:10:04.876;245.175;1
12:10:04.898;245.175;1
12:10:04.922;244.481;1
12:10:04.946;245.483;1
12:10:04.969;245.483;1
12:10:04.990;245.175;1
12:10:05.015;244.25;1
12:10:05.036;244.25;1
12:10:05.062;245.098;1
12:10:05.086;245.792;1
12:10:05.105;245.792;1
12:10:05.130;245.021;1
12:10:05.151;243.865;1
12:10:05.175;243.865;1
12:10:05.198;246.254;1
12:10:05.220;245.175;1
12:10:05.246;244.79;1
12:10:05.269;244.79;1
12:10:05.290;246.331;1
12:10:05.312;244.559;1
12:10:05.335;244.559;1
12:10:05.361;245.56;1
12:10:05.387;244.481;1
12:10:05.406;245.483;1
12:10:05.427;244.019;1
12:10:05.451;244.019;1
12:10:05.474;244.019;1
12:10:05.497;246.408;1
12:10:05.521;245.329;1
12:10:05.543;244.713;1
12:10:05.565;246.485;1
12:10:05.588;246.485;1
12:10:05.612;246.485;1
12:10:05.636;245.869;1
12:10:05.657;245.175;1
12:10:05.685;245.56;1
12:10:05.705;246.562;1
12:10:05.729;246.562;1
12:10:05.750;244.173;1
12:10:05.772;244.173;1
12:10:05.795;245.638;1
12:10:05.818;245.175;1
12:10:05.841;245.021;1
12:10:05.867;245.021;1
12:10:05.887;245.021;1
12:10:05.910;245.406;1
12:10:05.933;245.175;1
12:10:05.956;245.175;1
12:10:05.980;244.327;1
12:10:06.002;244.327;1
12:10:06.025;245.252;1
12:10:06.048;245.175;1
12:10:06.071;244.404;1
12:10:06.094;244.404;1
12:10:06.117;245.483;1
12:10:06.140;245.483;1
12:10:06.163;246.1;1
12:10:06.187;246.1;1
12:10:06.209;246.717;1
12:10:06.232;245.56;1
12:10:06.255;245.56;1
12:10:06.280;244.79;1
12:10:06.301;244.79;1
12:10:06.324;246.717;1
12:10:06.350;246.254;1
12:10:06.370;245.175;1
12:10:06.393;245.175;1
12:10:06.416;246.794;1
12:10:06.439;246.794;1
12:10:06.465;245.406;1
12:10:06.485;245.56;1
12:10:06.508;245.406;1
12:10:06.531;246.562;1
12:10:06.554;246.562;1
12:10:06.577;246.562;1
12:10:06.600;244.79;1
12:10:06.623;245.406;1
12:10:06.646;245.406;1
12:10:06.669;245.175;1
12:10:06.692;245.175;1
12:10:06.715;245.175;1
12:10:06.738;245.175;1
12:10:06.761;245.098;1
12:10:06.784;245.792;1
